Time,Bid_Open,Bid_Close,Ask_Open,Ask_Close
2009-12-31T22:00:00.000000000Z,0.88582,0.88587,0.88682,0.88687
2010-01-02T22:00:00.000000000Z,0.88525,0.88731,0.88625,0.88831
2010-01-03T22:00:00.000000000Z,0.88736,0.89599,0.88836,0.89619
2010-01-04T22:00:00.000000000Z,0.89603,0.89827,0.89623,0.89847
2010-01-05T22:00:00.000000000Z,0.89825,0.89930,0.89845,0.89950
2010-01-06T22:00:00.000000000Z,0.89935,0.89797,0.89955,0.89817
2010-01-07T22:00:00.000000000Z,0.89805,0.89873,0.89825,0.89973
2010-01-08T22:00:00.000000000Z,0.89886,0.89830,0.89986,0.89930
2010-01-09T22:00:00.000000000Z,0.89909,0.89763,0.90009,0.89813
2010-01-10T22:00:00.000000000Z,0.89766,0.90049,0.89816,0.90069
2010-01-11T22:00:00.000000000Z,0.90046,0.89611,0.90066,0.89631
2010-01-12T22:00:00.000000000Z,0.89605,0.89118,0.89625,0.89138
2010-01-13T22:00:00.000000000Z,0.89121,0.88755,0.89141,0.88775
2010-01-14T22:00:00.000000000Z,0.88757,0.88406,0.88777,0.88506
2010-01-15T22:00:00.000000000Z,0.88400,0.88405,0.88500,0.88505
2010-01-16T22:00:00.000000000Z,0.88400,0.88234,0.88500,0.88304
2010-01-17T22:00:00.000000000Z,0.88230,0.87999,0.88300,0.88034
2010-01-18T22:00:00.000000000Z,0.88005,0.87312,0.88040,0.87332
2010-01-19T22:00:00.000000000Z,0.87310,0.86570,0.87330,0.86590
2010-01-20T22:00:00.000000000Z,0.86576,0.86956,0.86596,0.86976
2010-01-21T22:00:00.000000000Z,0.86960,0.87675,0.86980,0.87775
2010-01-22T22:00:00.000000000Z,0.87678,0.87724,0.87778,0.87824
2010-01-23T22:00:00.000000000Z,0.87655,0.87870,0.87755,0.87970
2010-01-24T22:00:00.000000000Z,0.87864,0.87109,0.87964,0.87129
2010-01-25T22:00:00.000000000Z,0.87103,0.87156,0.87123,0.87176
2010-01-26T22:00:00.000000000Z,0.87150,0.86723,0.87170,0.86743
2010-01-27T22:00:00.000000000Z,0.86725,0.86551,0.86745,0.86576
2010-01-28T22:00:00.000000000Z,0.86557,0.86709,0.86582,0.86809
2010-01-29T22:00:00.000000000Z,0.86712,0.86711,0.86812,0.86811
2010-01-30T22:00:00.000000000Z,0.86711,0.86903,0.86811,0.86953
2010-01-31T22:00:00.000000000Z,0.86912,0.87289,0.86962,0.87309
2010-02-01T22:00:00.000000000Z,0.87293,0.87408,0.87313,0.87428
2010-02-02T22:00:00.000000000Z,0.87412,0.87407,0.87432,0.87427
2010-02-03T22:00:00.000000000Z,0.87404,0.87101,0.87424,0.87121
2010-02-04T22:00:00.000000000Z,0.87103,0.87403,0.87123,0.87503
2010-02-05T22:00:00.000000000Z,0.87285,0.87285,0.87385,0.87385
2010-02-06T22:00:00.000000000Z,0.87385,0.87556,0.87485,0.87656
2010-02-07T22:00:00.000000000Z,0.87553,0.87567,0.87653,0.87587
2010-02-08T22:00:00.000000000Z,0.87570,0.87764,0.87590,0.87784
2010-02-09T22:00:00.000000000Z,0.87762,0.88073,0.87782,0.88093
2010-02-10T22:00:00.000000000Z,0.88068,0.87182,0.88088,0.87202
2010-02-11T22:00:00.000000000Z,0.87179,0.86765,0.87199,0.86865
2010-02-12T22:00:00.000000000Z,0.86774,0.86774,0.86874,0.86874
2010-02-13T22:00:00.000000000Z,0.86716,0.86852,0.86816,0.86902
2010-02-14T22:00:00.000000000Z,0.86857,0.86833,0.86907,0.86853
2010-02-15T22:00:00.000000000Z,0.86836,0.87188,0.86856,0.87208
2010-02-16T22:00:00.000000000Z,0.87193,0.86814,0.87213,0.86834
2010-02-17T22:00:00.000000000Z,0.86801,0.87096,0.86821,0.87126
2010-02-18T22:00:00.000000000Z,0.87084,0.87927,0.87114,0.88027
2010-02-19T22:00:00.000000000Z,0.87929,0.87926,0.88029,0.88026
2010-02-20T22:00:00.000000000Z,0.87983,0.88061,0.88083,0.88161
2010-02-21T22:00:00.000000000Z,0.88059,0.87805,0.88159,0.87825
2010-02-22T22:00:00.000000000Z,0.87814,0.87581,0.87834,0.87601
2010-02-23T22:00:00.000000000Z,0.87579,0.87860,0.87599,0.87880
2010-02-24T22:00:00.000000000Z,0.87864,0.88752,0.87884,0.88772
2010-02-25T22:00:00.000000000Z,0.88749,0.89417,0.88769,0.89517
