Time,Bid_Open,Bid_Close,Ask_Open,Ask_Close
2009-12-31T22:00:00.000000000Z,1.43070,1.43070,1.43170,1.43170
2010-01-02T22:00:00.000000000Z,1.43070,1.43016,1.43170,1.43056
2010-01-03T22:00:00.000000000Z,1.43010,1.44118,1.43050,1.44136
2010-01-04T22:00:00.000000000Z,1.44114,1.43640,1.44132,1.43660
2010-01-05T22:00:00.000000000Z,1.43655,1.44069,1.43675,1.44087
2010-01-06T22:00:00.000000000Z,1.44065,1.43069,1.44083,1.43089
2010-01-07T22:00:00.000000000Z,1.43079,1.44005,1.43099,1.44105
2010-01-08T22:00:00.000000000Z,1.43948,1.44048,1.44048,1.44148
2010-01-09T22:00:00.000000000Z,1.44028,1.44253,1.44128,1.44283
2010-01-10T22:00:00.000000000Z,1.44256,1.45123,1.44286,1.45141
2010-01-11T22:00:00.000000000Z,1.45120,1.44849,1.45138,1.44867
2010-01-12T22:00:00.000000000Z,1.44846,1.45096,1.44864,1.45114
2010-01-13T22:00:00.000000000Z,1.45087,1.44987,1.45105,1.45005
2010-01-14T22:00:00.000000000Z,1.44980,1.43813,1.44998,1.43913
2010-01-15T22:00:00.000000000Z,1.43792,1.43811,1.43892,1.43911
2010-01-16T22:00:00.000000000Z,1.43771,1.43532,1.43871,1.43592
2010-01-17T22:00:00.000000000Z,1.43532,1.43821,1.43592,1.43851
2010-01-18T22:00:00.000000000Z,1.43818,1.42864,1.43848,1.42882
2010-01-19T22:00:00.000000000Z,1.42866,1.41052,1.42884,1.41070
2010-01-20T22:00:00.000000000Z,1.41049,1.40833,1.41067,1.40851
2010-01-21T22:00:00.000000000Z,1.40854,1.41312,1.40872,1.41412
2010-01-22T22:00:00.000000000Z,1.41314,1.41307,1.41414,1.41407
2010-01-23T22:00:00.000000000Z,1.41276,1.41560,1.41376,1.41590
2010-01-24T22:00:00.000000000Z,1.41565,1.41504,1.41595,1.41522
2010-01-25T22:00:00.000000000Z,1.41502,1.40709,1.41520,1.40729
2010-01-26T22:00:00.000000000Z,1.40713,1.40230,1.40733,1.40248
2010-01-27T22:00:00.000000000Z,1.40234,1.39698,1.40252,1.39723
2010-01-28T22:00:00.000000000Z,1.39702,1.38574,1.39727,1.38674
2010-01-29T22:00:00.000000000Z,1.38574,1.38574,1.38674,1.38674
2010-01-30T22:00:00.000000000Z,1.38614,1.38633,1.38714,1.38658
2010-01-31T22:00:00.000000000Z,1.38641,1.39297,1.38666,1.39315
2010-02-01T22:00:00.000000000Z,1.39300,1.39635,1.39318,1.39653
2010-02-02T22:00:00.000000000Z,1.39632,1.38927,1.39650,1.38947
2010-02-03T22:00:00.000000000Z,1.38923,1.37222,1.38943,1.37242
2010-02-04T22:00:00.000000000Z,1.37227,1.36740,1.37247,1.36840
2010-02-05T22:00:00.000000000Z,1.36740,1.36740,1.36840,1.36840
2010-02-06T22:00:00.000000000Z,1.36865,1.36584,1.36965,1.36620
2010-02-07T22:00:00.000000000Z,1.36579,1.36479,1.36615,1.36499
2010-02-08T22:00:00.000000000Z,1.36483,1.37964,1.36503,1.37984
2010-02-09T22:00:00.000000000Z,1.37970,1.37364,1.37990,1.37382
2010-02-10T22:00:00.000000000Z,1.37370,1.36923,1.37388,1.36943
2010-02-11T22:00:00.000000000Z,1.36917,1.36268,1.36937,1.36368
2010-02-12T22:00:00.000000000Z,1.36283,1.36283,1.36383,1.36383
2010-02-13T22:00:00.000000000Z,1.36233,1.36242,1.36333,1.36292
2010-02-14T22:00:00.000000000Z,1.36244,1.35972,1.36294,1.35992
2010-02-15T22:00:00.000000000Z,1.35975,1.37697,1.35995,1.37715
2010-02-16T22:00:00.000000000Z,1.37704,1.36057,1.37722,1.36075
2010-02-17T22:00:00.000000000Z,1.36052,1.35258,1.36070,1.35281
2010-02-18T22:00:00.000000000Z,1.35249,1.36074,1.35272,1.36174
2010-02-19T22:00:00.000000000Z,1.36095,1.36070,1.36195,1.36170
2010-02-20T22:00:00.000000000Z,1.36110,1.36373,1.36210,1.36413
2010-02-21T22:00:00.000000000Z,1.36357,1.35949,1.36397,1.35967
2010-02-22T22:00:00.000000000Z,1.35961,1.35064,1.35979,1.35082
2010-02-23T22:00:00.000000000Z,1.35061,1.35389,1.35079,1.35407
2010-02-24T22:00:00.000000000Z,1.35392,1.35475,1.35410,1.35493
2010-02-25T22:00:00.000000000Z,1.35471,1.36268,1.35489,1.36368
2010-02-26T22:00:00.000000000Z,1.36273,1.36238,1.36373,1.36338
2010-02-27T22:00:00.000000000Z,1.36278,1.36228,1.36378,1.36263
2010-02-28T22:00:00.000000000Z,1.36234,1.35591,1.36269,1.35609
2010-03-01T22:00:00.000000000Z,1.35602,1.36140,1.35620,1.36158
2010-03-02T22:00:00.000000000Z,1.36136,1.36956,1.36154,1.36974
